FID_J09229EDC426947CC981F6871CF,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,TARGET_FID,B25024e1,B25024m1,B25024e10,B25024m10,B25033e1,B25033m1,B25033e2,B25033m2,B25033e6,B25033m6,B25033e8,B25033m8,B25033e12,B25033m12,JoinID,TotalPopInMobileHomes,GEO_ID_1,STATE_1,COUNTY_1,TRACT_1,BLKGRP_1,NAME_1,LSAD_1,CENSUSAREA_1,FID_CA_SHP_CA_SHP_0,Shape__Area,Shape__Length,AnalysisArea
455,1500000US060650424112,6,65,42411,2,2,BG,0.23800001,8193,766.0,21.0,0.0,12.0,2460.0,261.0,1679.0,288.0,0.0,12.0,781.0,324.0,0.0,12.0,06065042411,0.0,1500000US060650424112,6,65,42411,2,2,BG,0.23800001,19591,906928.95703125,4103.90088406,0.24026573
456,1500000US060650424122,6,65,42412,2,2,BG,1.949,8194,1576.0,31.0,0.0,12.0,4971.0,450.0,4451.0,491.0,0.0,12.0,520.0,378.0,0.0,12.0,06065042412,0.0,1500000US060650424122,6,65,42412,2,2,BG,1.949,19593,7365019.69921875,14387.5704669,1.95096899
458,1500000US060650412022,6,65,41202,2,2,BG,0.183,8126,1018.0,26.0,0.0,12.0,4624.0,389.0,3062.0,459.0,0.0,12.0,1562.0,483.0,0.0,12.0,06065041202,0.0,1500000US060650412022,6,65,41202,2,2,BG,0.183,19621,670943.890625,3436.74802894,0.17786289
471,1500000US060650418031,6,65,41803,1,1,BG,0.45100001,8145,2033.0,43.0,0.0,17.0,7117.0,425.0,6235.0,525.0,0.0,17.0,882.0,457.0,0.0,17.0,06065041803,0.0,1500000US060650418031,6,65,41803,1,1,BG,0.45100001,19656,1655137.4296875,5608.86849772,0.4397481
472,1500000US060650418042,6,65,41804,2,2,BG,0.639,8146,1380.0,37.0,0.0,12.0,4371.0,347.0,4182.0,312.0,0.0,12.0,189.0,197.0,0.0,12.0,06065041804,0.0,1500000US060650418042,6,65,41804,2,2,BG,0.639,19658,2427221.87890625,10304.35639396,0.64476758
474,1500000US060650418062,6,65,41806,2,2,BG,0.32699999,8148,1287.0,31.0,0.0,12.0,4793.0,365.0,4074.0,435.0,0.0,12.0,719.0,407.0,0.0,12.0,06065041806,0.0,1500000US060650418062,6,65,41806,2,2,BG,0.32699999,19662,1249170.33203125,5035.41907558,0.33179984
475,1500000US060650418072,6,65,41807,2,2,BG,0.19599999,8149,713.0,19.0,0.0,12.0,2364.0,299.0,1932.0,302.0,0.0,12.0,432.0,207.0,0.0,12.0,06065041807,0.0,1500000US060650418072,6,65,41807,2,2,BG,0.19599999,19663,737673.54296875,3448.7509427,0.19590052
479,1500000US060650404031,6,65,40403,1,1,BG,0.61500001,8086,1452.0,70.0,60.0,66.0,5876.0,509.0,4184.0,551.0,0.0,17.0,1692.0,488.0,0.0,17.0,06065040403,0.0,1500000US060650404031,6,65,40403,1,1,BG,0.61500001,21007,2318156.96875,6083.25083647,0.6137487
482,1500000US060650445182,6,65,44518,2,2,BG,1.55400002,8361,2379.0,121.0,21.0,33.0,5775.0,551.0,2927.0,549.0,0.0,17.0,2848.0,612.0,0.0,17.0,06065044518,0.0,1500000US060650445182,6,65,44518,2,2,BG,1.55400002,23081,5818885.140625,13298.95191744,1.54122626
473,1500000US060650418051,6,65,41805,1,1,BG,0.13,8147,2101.0,60.0,6.0,11.0,6016.0,518.0,3273.0,562.0,12.0,23.0,2743.0,529.0,0.0,17.0,06065041805,12.0,1500000US060650418051,6,65,41805,1,1,BG,0.13,19659,478452.25,3924.16428701,0.12704498
388,1500000US060650405031,6,65,40503,1,1,BG,0.227,8091,1943.0,51.0,7.0,11.0,4294.0,313.0,1986.0,340.0,14.0,23.0,2308.0,338.0,0.0,12.0,06065040503,14.0,1500000US060650405031,6,65,40503,1,1,BG,0.227,17898,918853.6640625,4184.49398975,0.24305377
